departmentCode,departmentName
D001,Education
D002,IT
D003,Support
D004,Health
D005,Education
D006,IT
D007,Support
D008,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D005,Education
D006,IT
D007,Support
D008,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D00312,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
D003,Support
D004,Health
D001,Education
D002,IT
